id,user_id,file_path,duration,language_hint,transcription,quality_score,verification_count,verified,timestamp,quality_category,text_length
ade000b1-4f35-4d45-9bad-a03ce5dd491f,1642071479,./data/telegram/1642071479_ade000b1-4f35-4d45-9bad-a03ce5dd491f.ogg,2.0,uz,Assalomu Alaykum,0.4456434026360512,0,0,2025-09-29 11:32:19.318711,Среднее,16
5375b275-fba8-439c-bf61-d2766680cef9,1642071479,./data/telegram/1642071479_5375b275-fba8-439c-bf61-d2766680cef9.ogg,4.0,uz,bir ikki uch to’rt besh olti yetti sakkiz to’qqiz o’n,0.3454906865954399,0,0,2025-09-29 11:32:52.091486,Среднее,53
f77d666d-76c1-46ec-9eb9-d58893945357,1642071479,./data/telegram/1642071479_f77d666d-76c1-46ec-9eb9-d58893945357.ogg,2.0,uz,iltimos ovozli xabar qoldiring,0.5412616953253746,0,0,2025-09-29 11:49:09.387458,Среднее,30
23fc22c1-ba2d-4605-9493-464549c375dd,1642071479,./data/telegram/1642071479_23fc22c1-ba2d-4605-9493-464549c375dd.ogg,3.0,uz,No aniqlikdan aniqlikga olib chiqamiz,1.0,0,0,2025-09-29 11:50:08.244076,Отличное,37
f6cde3f2-ea63-4ba8-a822-2af6f05202b5,1642071479,./data/telegram/1642071479_f6cde3f2-ea63-4ba8-a822-2af6f05202b5.ogg,2.0,uz,Hadid Doktor eng zo’r kompaniya,0.6539185345172882,0,0,2025-09-29 11:51:03.457090,Хорошее,31
ed4e9784-1ee2-4ea8-a994-115d4b928aca,1642071479,./data/telegram/1642071479_ed4e9784-1ee2-4ea8-a994-115d4b928aca.ogg,3.0,uz,O’zbekiston Respublikasiga xush kelibsiz!,0.5100102722644806,0,0,2025-09-29 11:53:54.351839,Среднее,41
4bf64808-bee6-4ccc-86d9-347cfe1eb16f,1642071479,./data/telegram/1642071479_4bf64808-bee6-4ccc-86d9-347cfe1eb16f.ogg,3.0,uz,Labarotoriya sharoitida namlik darajasini o’lchash,0.5893554165959358,0,0,2025-09-29 11:54:44.281091,Среднее,50
48fd1365-440e-4dd3-8fac-a2dce169134a,1642071479,./data/telegram/1642071479_48fd1365-440e-4dd3-8fac-a2dce169134a.ogg,3.0,uz,Kadastor xujjatlariga ega do’konlar,0.6913554668426514,0,0,2025-09-29 11:55:28.087878,Хорошее,35
1623aa31-b377-40d3-a920-4761a630be78,1642071479,./data/telegram/1642071479_1623aa31-b377-40d3-a920-4761a630be78.ogg,4.0,uz,Zamonaviy bozor va oilaviy ko’ngil ochar majmuasi,0.7539229840040207,0,0,2025-09-29 11:56:08.802944,Хорошее,49
7955e588-b2e9-406b-937c-a68f21c958de,1642071479,./data/telegram/1642071479_7955e588-b2e9-406b-937c-a68f21c958de.ogg,8.0,uz,"Xavfsizlik xizmati 24/7 videokuzatuv va qo’riqlash, yong’inga qarshi infratuzilma, birinchi tibbiy yordam punktlari",0.6193872541189194,0,0,2025-09-29 11:57:27.592984,Хорошее,115
130bac11-852d-48f6-9ca8-653c17832de6,1642071479,./data/telegram/1642071479_130bac11-852d-48f6-9ca8-653c17832de6.ogg,4.0,uz,"Bozor, Do’stlik bog’i, Mehmonxona, Do’konlar",0.7328177243471146,0,0,2025-09-29 11:59:39.377435,Хорошее,44
